@relation 'Costa De Oro Imports - DataSet-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7'

@attribute venta_total numeric
@attribute anno numeric
@attribute mes numeric
@attribute cantidad_productos numeric
@attribute total_unidades numeric
@attribute precio_promedio numeric

@data
54740,2023,11,1,2,23000
107100,2023,11,1,2,45000
92820,2023,11,2,4,19500
92820,2023,11,1,2,39000
105672,2023,11,2,4,22200
146370,2023,11,2,3,39000
9520,2023,11,1,1,8000
397222,2023,11,3,3,111266.6667
582505,2023,11,3,5,97000
230860,2023,11,1,2,97000
284410,2023,11,2,3,71000
13090,2023,11,1,2,5500
49980,2023,11,1,2,21000
116620,2023,11,1,2,49000
63070,2023,11,1,1,53000
480760,2023,11,3,4,81666.6667
53550,2023,11,1,1,45000
61642,2023,11,2,3,13900
554540,2023,11,2,4,116500
64260,2023,11,1,2,27000
48552,2023,11,1,1,40800
4522,2023,11,1,1,3800
15470,2023,11,1,2,6500
29750,2023,11,1,1,25000
126140,2023,11,1,2,53000
282030,2023,11,2,3,65500
78540,2023,11,1,2,33000
73542,2023,11,2,2,30900
4522,2023,11,1,1,3800
9044,2023,11,1,2,3800
48790,2023,11,2,2,20500
597380,2023,11,2,3,143500
59500,2023,11,1,2,25000
85680,2023,11,1,1,72000
96390,2023,11,2,2,40500
416500,2023,11,1,2,175000
155414,2023,11,2,3,44900
107100,2023,11,1,2,45000
86870,2023,11,2,3,32500
29750,2023,11,1,1,25000
110075,2023,11,1,1,92500
59500,2023,11,1,2,25000
334985,2023,12,4,5,69000
166600,2023,12,2,4,35000
312970,2023,12,2,2,131500
65450,2023,12,1,2,27500
274890,2023,12,2,2,115500
41650,2023,12,1,1,35000
48552,2023,12,1,1,40800
54740,2023,12,1,2,23000
886550,2023,12,3,5,140333.3333
82705,2023,12,3,4,16166.6667
4165,2023,12,1,1,3500
100555,2023,12,2,2,42250
126140,2023,12,1,1,106000
185640,2023,12,1,2,78000
53550,2023,12,1,1,45000
59976,2023,12,1,2,25200
185640,2023,12,1,2,78000
78540,2023,12,1,2,33000
65450,2023,12,1,2,27500
80920,2023,12,2,2,34000
30940,2023,12,1,2,13000
38080,2023,12,1,1,32000
78540,2023,12,1,2,33000
41650,2023,12,1,1,35000
177310,2023,12,1,1,149000
139230,2023,12,3,5,23666.6667
10710,2023,12,1,2,4500
89250,2023,12,2,3,25000
27370,2023,12,1,1,23000
41650,2023,12,1,1,35000
69496,2023,12,2,4,14600
417690,2023,12,2,3,96000
185640,2023,12,1,2,78000
464695,2023,12,2,3,170750
67830,2023,12,2,4,14250
29750,2023,12,1,1,25000
49980,2023,12,1,2,21000
7735,2023,12,1,1,6500
4165,2023,12,1,1,3500
16779,2023,12,2,3,5150
106148,2023,12,2,3,28600
19040,2023,12,1,2,8000
200634,2023,12,3,4,42600
103530,2023,12,2,4,21750
7140,2023,12,1,1,6000
742560,2023,12,1,2,312000
97580,2023,12,2,4,20500
65450,2023,12,2,2,27500
59500,2023,12,1,2,25000
49980,2023,12,1,2,21000
64260,2023,12,2,3,14500
416500,2023,12,1,2,175000
57120,2023,12,1,2,24000
157913,2023,12,3,5,28766.6667
57596,2023,12,2,3,22300
45220,2023,12,2,3,11000
89250,2023,12,2,4,18750
53550,2023,12,1,1,45000
171122,2023,12,2,4,35950
11900,2023,12,1,1,10000
104720,2023,12,2,3,24500
82705,2023,12,2,3,18250
19040,2023,12,1,1,16000
354620,2023,12,1,2,149000
39270,2023,12,1,1,33000
29750,2023,12,1,1,25000
28560,2023,12,1,1,24000
30940,2023,12,1,2,13000
202300,2023,12,2,4,42500
107100,2023,12,1,2,45000
433160,2023,12,1,2,182000
888335,2023,12,2,3,259750
126140,2023,12,1,2,53000
511700,2023,12,1,2,215000
107100,2023,12,1,2,45000
481950,2023,12,3,5,73000
111860,2023,12,2,3,24500
155890,2023,12,3,4,28666.6667
618800,2023,12,3,3,173333.3333
19040,2023,12,1,1,16000
553350,2023,12,2,3,125000
405552,2023,12,3,5,63600
92820,2023,12,1,1,78000
63070,2023,12,2,3,14500
540260,2023,12,1,2,227000
23800,2023,12,1,2,10000
19040,2023,12,1,2,8000
416500,2023,12,1,2,175000
273700,2024,1,1,2,115000
255850,2024,1,1,1,215000
39270,2024,1,1,1,33000
39270,2024,1,2,2,16500
57120,2024,1,1,2,24000
199920,2024,1,2,3,61500
805630,2024,1,2,3,182500
7140,2024,1,1,1,6000
314160,2024,1,2,4,66000
6545,2024,1,1,1,5500
5950,2024,1,1,1,5000
342720,2024,1,2,3,117500
130900,2024,1,2,3,29000
543235,2024,1,3,4,126166.6667
742560,2024,1,1,2,312000
29750,2024,1,1,1,25000
24990,2024,1,1,1,21000
255850,2024,1,1,1,215000
373065,2024,1,2,2,156750
555730,2024,1,2,4,116750
115430,2024,1,1,1,97000
92820,2024,1,1,2,39000
202538,2024,1,4,6,31050
113050,2024,1,2,3,35000
202300,2024,1,2,3,71250
133280,2024,1,1,1,112000
156128,2024,1,2,2,65600
629510,2024,1,2,3,172000
252280,2024,1,1,2,106000
92820,2024,1,1,1,78000
7735,2024,1,1,1,6500
61880,2024,1,1,1,52000
78540,2024,1,1,2,33000
520625,2024,1,4,4,109375
68306,2024,1,2,4,14350
78540,2024,1,1,2,33000
59500,2024,1,1,2,25000
57120,2024,1,1,2,24000
113050,2024,1,2,3,30000
236810,2024,1,2,3,51000
139230,2024,1,2,3,34500
189210,2024,1,2,3,51000
424830,2024,1,2,3,130000
439110,2024,1,3,4,68666.6667
97104,2024,1,1,2,40800
122570,2024,1,2,2,51500
30940,2024,1,1,2,13000
155890,2024,1,2,3,61500
245140,2024,1,2,4,51500
24990,2024,1,1,1,21000
617610,2024,1,4,7,103875
54740,2024,1,1,2,23000
10710,2024,1,1,2,4500
63070,2024,1,1,1,53000
126140,2024,1,1,2,53000
10710,2024,1,1,2,4500
149345,2024,1,2,2,62750
378420,2024,1,3,5,66000
451010,2024,1,2,4,94750
15470,2024,1,1,1,13000
59500,2024,1,1,2,25000
593810,2024,1,2,3,136000
10710,2024,1,1,2,4500
193970,2024,1,1,1,163000
29750,2024,1,1,1,25000
32725,2024,1,1,1,27500
185640,2024,1,2,4,39000
92820,2024,1,1,2,39000
158270,2024,1,3,5,26000
185640,2024,1,1,2,78000
314160,2024,1,3,6,44000
696150,2024,1,1,2,292500
16660,2024,1,1,2,7000
28084,2024,1,2,4,5900
53550,2024,1,1,1,45000
147084,2024,1,2,4,30900
29988,2024,1,1,1,25200
441490,2024,1,2,3,104000
46410,2024,1,1,1,39000
136850,2024,1,1,1,115000
113526,2024,1,2,3,35100
83300,2024,1,1,2,35000
